,Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records
251,https://biodiversity.org.au/afd/taxa/c78f4a66-a0d8-4569-95cd-891bc34fd269,Aridaeus thoracicus,"(Donovan, 1805)",species,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Aridaeus,,2
252,https://biodiversity.org.au/afd/taxa/c88d4abd-4262-429b-b70a-428d1fb2cd8d,Chondropyga dorsalis,"(Donovan, 1805)",species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chondropyga,Cowboy Beetle,2
253,https://biodiversity.org.au/afd/taxa/c95af018-43ab-43b8-8e14-037604db64f6,Epthianura (Epthianura) albifrons,"(Jardine & Selby, 1828)",species,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Epthianura,White-fronted Chat,2
254,https://biodiversity.org.au/afd/taxa/c96b19fd-2a54-4361-a5cf-baecf741310e,Phalacrocorax (Phalacrocorax) sulcirostris,"(Brandt, 1837)",species,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,Little Black Cormorant,2
255,https://biodiversity.org.au/afd/taxa/d2e67121-b3b9-4292-84f9-4f070a05b7d4,Aphelocephala leucopsis,"(Gould, 1841)",species,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Aphelocephala,Western Whiteface,2
256,https://biodiversity.org.au/afd/taxa/e453dbf4-ac86-44b6-8776-de892b568f51,Austracantha minax,"(Thorell, 1859)",species,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Austracantha,,2
257,https://biodiversity.org.au/afd/taxa/e948fd99-7550-4d1b-866a-75666cc61f96,Heteroscenes pallidus,"(Latham, 1801)",species,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Heteroscenes,Pallid Cuckoo,2
258,https://biodiversity.org.au/afd/taxa/e96c4568-a10f-4ea9-a741-a551b1f22bc1,Gambusia holbrooki,"Girard, 1859",species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Top Minnow,2
259,https://id.biodiversity.org.au/node/apni/2886410,Dichondra repens,J.R.Forst. & G.Forst.,species,Plantae,Charophyta,Equisetopsida,Solanales,Convolvulaceae,Dichondra,Creeping Dichondra,2
260,https://id.biodiversity.org.au/node/apni/2886982,Juncus holoschoenus,R.Br.,species,Plantae,Charophyta,Equisetopsida,Poales,Juncaceae,Juncus,Joint-leaved Rush,2
261,https://id.biodiversity.org.au/node/apni/2888471,Ottelia ovalifolia,(R.Br.) Rich.,species,Plantae,Charophyta,Equisetopsida,Alismatales,Hydrocharitaceae,Ottelia,Swamp Lily,2
262,https://id.biodiversity.org.au/node/apni/2888705,Crassula sieberiana,(Schult. & Schult.f.) Druce,species,Plantae,Charophyta,Equisetopsida,Saxifragales,Crassulaceae,Crassula,Sieber's Crassula,2
263,https://id.biodiversity.org.au/node/apni/2888864,Paspalum dilatatum,Poir.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Paspalum,Paspalum,2
264,https://id.biodiversity.org.au/node/apni/2889372,Lomandra multiflora,(R.Br.) Britten,species,Plantae,Charophyta,Equisetopsida,Asparagales,Asparagaceae,Lomandra,Many-flowered Mat-rush,2
265,https://id.biodiversity.org.au/node/apni/2890796,Burchardia umbellata,R.Br.,species,Plantae,Charophyta,Equisetopsida,Liliales,Colchicaceae,Burchardia,Milkmaids,2
266,https://id.biodiversity.org.au/node/apni/2890800,Rumex brownii,Campd.,species,Plantae,Charophyta,Equisetopsida,Caryophyllales,Polygonaceae,Rumex,Swamp Dock,2
267,https://id.biodiversity.org.au/node/apni/2890809,Austrostipa bigeniculata,(Hughes) S.W.L.Jacobs & J.Everett,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Austrostipa,Doublejointed Speargrass,2
268,https://id.biodiversity.org.au/node/apni/2891758,Acacia gunnii,Benth.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Ploughshare Wattle,2
269,https://id.biodiversity.org.au/node/apni/2891946,Polystichum proliferum,(R.Br.) C.Presl,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Dryopteridaceae,Polystichum,Mother Shield Fern,2
270,https://id.biodiversity.org.au/node/apni/2892858,Lolium perenne,L.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Lolium,Rye Grass,2
271,https://id.biodiversity.org.au/node/apni/2894148,Bulbine bulbosa,(R.Br.) Haw.,species,Plantae,Charophyta,Equisetopsida,Asparagales,Asphodelaceae,Bulbine,Native Onion,2
272,https://id.biodiversity.org.au/node/apni/2894970,Schoenoplectus tabernaemontani,(C.C.Gmel.) Palla,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Schoenoplectus,River Clubsedge,2
273,https://id.biodiversity.org.au/node/apni/2895205,Lomandra longifolia,Labill.,species,Plantae,Charophyta,Equisetopsida,Asparagales,Asparagaceae,Lomandra,Spiny-headed Mat-rush,2
274,https://id.biodiversity.org.au/node/apni/2895679,Ranunculus lappaceus,Sm.,species,Plantae,Charophyta,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus,Australian Buttercup,2
275,https://id.biodiversity.org.au/node/apni/2896294,Wahlenbergia stricta,(R.Br.) Sweet,species,Plantae,Charophyta,Equisetopsida,Asterales,Campanulaceae,Wahlenbergia,Tall Bluebell,2
276,https://id.biodiversity.org.au/node/apni/2896357,Romulea rosea,(L.) Eckl.,species,Plantae,Charophyta,Equisetopsida,Asparagales,Iridaceae,Romulea,Guildford Grass,2
277,https://id.biodiversity.org.au/node/apni/2896975,Rytidosperma carphoides,(F.Muell. ex Benth.) Connor & Edgar,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Rytidosperma,,2
278,https://id.biodiversity.org.au/node/apni/2897482,Eucalyptus goniocalyx,F.Muell. ex Miq.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Apple,2
279,https://id.biodiversity.org.au/node/apni/2897494,Coprosma quadrifida,(Labill.) B.L.Rob.,species,Plantae,Charophyta,Equisetopsida,Gentianales,Rubiaceae,Coprosma,Native Currant,2
280,https://id.biodiversity.org.au/node/apni/2898936,Senecio phelleus,I.Thomps.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Senecio,Rock Fireweed,2
281,https://id.biodiversity.org.au/node/apni/2899160,Indigofera australis,Willd.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Indigofera,Australian Indigo,2
282,https://id.biodiversity.org.au/node/apni/2899343,Plantago lanceolata,L.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Plantaginaceae,Plantago,Plantain,2
283,https://id.biodiversity.org.au/node/apni/2899376,Lomatia myricoides,(C.F.Gaertn.) Domin,species,Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Lomatia,Mountain Beech,2
284,https://id.biodiversity.org.au/node/apni/2899636,Solenogyne dominii,L.G.Adams,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Solenogyne,,2
285,https://id.biodiversity.org.au/node/apni/2899897,Conium maculatum,L.,species,Plantae,Charophyta,Equisetopsida,Apiales,Apiaceae,Conium,Hemlock,2
286,https://id.biodiversity.org.au/node/apni/2900606,Juncus remotiflorus,L.A.S.Johnson,species,Plantae,Charophyta,Equisetopsida,Poales,Juncaceae,Juncus,,2
287,https://id.biodiversity.org.au/node/apni/2900822,Eucalyptus rossii,R.T.Baker & H.G.Sm.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Scribbly Gum,2
288,https://id.biodiversity.org.au/node/apni/2903083,Orobanche minor,Sm.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Orobanchaceae,Orobanche,Broomrape,2
289,https://id.biodiversity.org.au/node/apni/2903384,Rytidosperma racemosum,(R.Br.) Connor & Edgar,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Rytidosperma,,2
290,https://id.biodiversity.org.au/node/apni/2903560,Cerastium glomeratum,Thuill.,species,Plantae,Charophyta,Equisetopsida,Caryophyllales,Caryophyllaceae,Cerastium,Sticky Mouse-ear Chickweed,2
291,https://id.biodiversity.org.au/node/apni/2904357,Platylobium montanum,I.Thomps.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Platylobium,,2
